field,score
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extensions_status_request_type_1,556
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_1,555
tcp_tcp.window_size_1,554
tls_tls.record_tls.handshake_Extension: server_name (len=24)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_1,553
ip_ip.dst_1,552
ip_ip.flags_tree_ip.flags.rb_1,551
eth_eth.dst_tree_eth.dst.oui_2,550
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_algs_tls.handshake.sig_hash_alg_tree_tls.handshake.sig_hash_sig_1,549
ip_ip.flags_tree_ip.flags.df_2,548
tls_tls.record_tls.handshake_Extension: key_share (len=38)_tls.handshake.extension.type_1,547
tls_tls.record_tls.handshake_Extension: server_name (len=19)_tls.handshake.extension.len_1,546
tls_tls.record_tls.handshake_tls.handshake.session_id_1,545
ip_ip.checksum.status_2,544
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extensions_supported_groups_length_3,543
tls_tls.record_tls.handshake_Extension: extended_master_secret (len=0)_tls.handshake.extension.type_1,542
eth_eth.dst_tree_eth.addr_1,541
tls_tls.record_tls.handshake_Extension: server_name (len=23)_tls.handshake.extension.len_1,540
frame_frame.ignored_3,539
tls_tls.record_tls.handshake_Extension: server_name (len=30)_Server Name Indication extension_tls.handshake.extensions_server_name_type_2,538
tcp_tcp.seq_raw_3,537
